职位名,公司名,工作地点,薪资,发布时间
HTML5开发工程师,成都迈思信息技术有限公司,深圳-福田区,1-1.5万/月,05-19
HTML5开发工程师,鹏为软件股份有限公司,深圳,0.8-1.2万/月,05-19
HTML5开发工程师,深圳喜盈佳企业云服务有限公司,深圳-福田区,1.5-2万/月,05-19
HTML5开发工程师,深圳市益益泗网络科技有限公司,深圳-南山区,1-1.5万/月,05-19
HTML5开发工程师,360金融,深圳-福田区,1.5-2万/月,05-19
WEB前端工程师(HTML5),上海速强信息技术有限公司,深圳,1-1.5万/月,05-19
Html5前端工程师,深圳市前海硕极科技有限公司,深圳,0.8-1.3万/月,05-19
HTML5开发工程师,深圳市志行正科技有限公司,深圳-宝安区,0.8-1万/月,05-18
HTML5客户端开发,深圳海拓时代科技有限公司,深圳-宝安区,0.8-2万/月,05-18
HTML5开发工程师,深圳同行共享科技有限公司,深圳-龙岗区,0.9-1.8万/月,05-18
HTML5工程师,深圳市喜途伞业有限公司,深圳,0.9-1.8万/月,05-18
WEB前端程序员/HTML5工程师/首席技术官,深圳前海第一网络科技有限公司,深圳-龙华新区,1-3万/月,05-18
高级前端开发工程师（HTML5/小程序,深圳市藤讯科技有限公司,深圳-南山区,2.5-3万/月,05-18
HTML5开发工程师,深圳港云科技有限公司,深圳,0.8-1.3万/月,05-18
HTML5开发工程师,深圳贝尔创意科教有限公司,深圳-南山区,1-1.3万/月,05-18
HTML5开发工程师(小游戏开发),深圳市穗彩科技开发有限公司,深圳-福田区,1-1.5万/月,05-18
WEB前端开发/HTML5开发工程师,深圳市熙盛恒科技有限公司,深圳-南山区,0.8-1万/月,05-18
中高级HTML5工程师（深圳）,深圳微品致远信息科技有限公司,深圳-南山区,0.6-1.5万/月,05-18
PHP工程师/PHP架构师/html5开发工程师,深圳华强聚丰电子科技有限公司,深圳-福田区,0.8-2万/月,05-18
HTML5开发工程师,深圳市博艺游科技有限公司,深圳-南山区,1.2-1.8万/月,05-18
HTML5开发工程师,深圳市艾博德科技股份有限公司,深圳,0.5-1万/月,05-18
HTML5开发工程师,IBM China,深圳,15-20万/年,05-18
HTML5开发工程师,深圳市全潮科技有限公司,深圳,7-9千/月,05-18
HTML5开发工程师,深圳大川网络科技有限公司,深圳,1-2万/月,05-18
HTML5,深圳无界互娱有限公司,深圳-南山区,0.8-1.5万/月,05-18
HTML5开发工程师,深圳七彩鹿科技有限公司,深圳-宝安区,0.8-1万/月,05-18
HTML5高级研发工程师（化妆师联盟）,深圳市仙迪化妆品有限公司,深圳-宝安区,0.8-1.6万/月,05-18
证券-HTML5前端工程师,深圳市金证科技股份有限公司,深圳-南山区,1.2-2万/月,05-18
HTML5游戏开发工程师,深圳市嗨皮窝网络科技有限公司,深圳-南山区,0.6-1.8万/月,05-18
HTML5开发工程师,深圳市永达兴科技有限公司,深圳-宝安区,0.7-1.3万/月,05-18
Web/HTML5前端工程师,深圳彩智慧网络有限公司,深圳-南山区,0.7-1万/月,05-18
HTML5游戏前端高级工程师,深圳市游龙互动科技开发有限责任公司,深圳-南山区,1.5-2.5万/月,05-18
html5游戏推广(底薪+提成),深圳市联众互动科技有限公司,深圳-南山区,0.7-1万/月,05-18
前端开发工程师-html5（我家云）,金蝶软件（中国）有限公司,深圳,0.6-1.2万/月,05-18
HTML5培训讲师,深圳市大富网络技术有限公司,深圳-南山区,1.2-1.8万/月,05-18
HTML5开发工程师,深圳市欧克博讯科技有限公司,深圳-南山区,0.6-1万/月,05-18
HTML5开发工程师,股德信用管理（深圳）有限公司,深圳-南山区,1.2-1.8万/月,05-18
HTML5开发工程师,深圳市鑫溢网络科技有限公司,深圳-龙华新区,1-1.5万/月,05-18
HTML5三阶段讲师,北京千锋互联科技有限公司深圳分公司,深圳-宝安区,1.5-3万/月,05-18
Html5游戏开发工程师（棋牌中心）,深圳中青宝互动网络股份有限公司,深圳,1-2万/月,05-18
HTML5开发工程师,深圳市南羚贸易有限公司,深圳-南山区,6-8千/月,05-18
HTML5开发工程师,深圳市智游人科技有限公司,深圳-南山区,0.6-1万/月,05-18
HTML5前端 软件开发工程师,深圳市科联汇通科技有限公司,深圳,1-1.5万/月,05-18
HTML5高级前端开发工程师,深圳比比网络科技有限公司,深圳,1-1.5万/月,05-18
HTML5/Web 前端,深圳优泰文创运营发展有限公司,深圳-南山区,1-1.5万/月,05-18
HTML5开发工程师,深圳市捷顺科技实业股份有限公司,深圳,1-2万/月,05-18
HTML5游戏开发工程师（天天盈球）,深圳市中网彩网络技术有限公司,深圳,0.8-1.5万/月,05-18
HTML5开发工程师,深圳市图谱链网络科技有限公司,深圳-南山区,1-1.3万/月,05-18
HTML5开发工程师,深圳市雅码科技有限公司,深圳,0.6-1.2万/月,05-18
HTML5前端开发工程师,深圳市迪蒙网络科技有限公司,深圳-罗湖区,1-2万/月,05-18
HTML5开发工程师,深圳市奥讯互娱科技有限公司,深圳-南山区,1-2万/月,05-18
html5 前端研发工程师,深圳市博悦生活用品有限公司,深圳-南山区,1-2万/月,05-18
HTML5开发工程师,广东安尔发智能科技股份有限公司,深圳-南山区,1-1.5万/月,05-18
HTML5开发工程师,深圳市紫川软件有限公司,深圳-福田区,1.5-2万/月,05-18
HTML5开发工程师,东莞市富米网络技术有限公司,深圳-龙华新区,1-1.5万/月,05-18
初级html5开发,深圳市趣宝科技有限公司,深圳,6-8千/月,05-18
HTML5开发工程师(游戏),深圳市博尚网络有限公司,深圳-福田区,1-1.5万/月,05-17
HTML5开发工程师,深圳市蜂窝网络有限公司,深圳-南山区,0.5-1万/月,05-17
HTML5(cocos creator)游戏开发工程师,深圳带路网络有限公司,深圳-龙岗区,1.5-2万/月,05-17
HTML5开发工程师,深圳市天狐互娱科技有限公司,深圳-龙岗区,1-2万/月,05-17
HTML5/Web 前端高级开发工程师,深圳市道远商业不动产咨询有限公司,深圳-南山区,0.7-2万/月,05-17
HTML5开发工程师,深圳市智乐园科技股份有限公司,深圳,4-5千/月,05-17
Html5前端开发工程师,深圳市华创科新科技有限公司,深圳-南山区,1-1.5万/月,05-17
HTML5开发工程师,尼尔林技术咨询（深圳）有限公司,深圳-南山区,1.5-2万/月,05-17
HTML5前端开发工程师,深圳市壹佰金融服务有限公司,深圳-福田区,1-2万/月,05-17
HTML5开发工程师,深圳乐易住智能科技股份有限公司,深圳-福田区,1-1.5万/月,05-17
C#软件开发工程师（HTML5开发培养方向）,深圳市名通科技股份有限公司,深圳-南山区,0.7-1.5万/月,05-17
HTML5开发工程师,广州柏欣计算机科技有限公司,深圳,1-1.5万/月,05-17
Javascript/HTML5工程师,深圳市齐天科技有限责任公司,深圳-宝安区,0.8-1万/月,05-17
HTML5前端开发工程师,华强方特文化科技集团股份有限公司,深圳,0.8-1万/月,05-16
html5开发工程师,深圳市深圳通电子商务有限公司,深圳,1.3-1.8万/月,05-16
HTML5前端开发工程师-深圳-00158,中信网络科技股份有限公司,深圳,0.7-1.5万/月,05-16
高级HTML5开发工程师,深圳市科脉技术股份有限公司,深圳,1.5-2万/月,05-16
HTML5开发工程师,深圳市科脉技术股份有限公司,深圳,1-1.5万/月,05-16
HTML5前端高级开发工程师,深圳市脉果儿网络科技有限责任公司,深圳-宝安区,1-1.5万/月,05-16
HTML5前端工程师,深圳市普特生物医学工程有限公司,深圳,0.8-1.2万/月,05-15
HTML5前端开发工程师,深圳图为技术有限公司,深圳-龙岗区,0.9-1.5万/月,05-15
白鹭COCOS游戏引擎HTML5程序PHP开发不坐班独立完成,黑龙江创码科技有限公司,异地招聘,4.5-6千/月,05-15
HTML5开发工程师/HTML5学院讲师,广州小码哥教育科技有限公司,深圳-宝安区,20-50万/年,05-15
HTML5前端开发工程师,信必优(深圳)信息技术有限公司,深圳,1.5-2万/月,05-15
HTML5开发工程师,湖南高途教育科技有限公司,深圳-南山区,0.8-1万/月,05-14
HTML5开发工程师,深圳市大头互动文化传播有限公司,深圳,0.8-1万/月,05-14
HTML5 软件工程师,现代多媒体（深圳）有限公司,深圳-罗湖区,0.6-1.2万/月,05-14
HTML5开发工程师,深圳市筋斗云电子科技有限公司,深圳-龙华新区,0.4-1万/月,05-14
前端HTML5开发工程师,招商证券股份有限公司,深圳-南山区,15-50万/年,05-14
HTML5开发工程师,深圳市未来精准医学生物产业有限公司,深圳-南山区,1-1.5万/月,05-13
Android HTML5 APP开发工程师,深圳市星火电子工程公司,深圳,0.6-1.2万/月,05-11
HTML5开发工程师(游戏),深圳市致一世纪科技有限公司,深圳-宝安区,2-3万/月,05-11
HTML5开发工程师(体育类产品）,深圳行云跃动网络科技有限公司,深圳-南山区,0.7-1.4万/月,05-10
HTML5开发工程师,深圳市点嘀互联网络有限公司,深圳,0.8-1.6万/月,05-09
HTML5/H5游戏开发工程师,深圳市大茂文化传播有限公司,深圳-福田区,0.8-1.5万/月,05-08
"Web前端设计师,HTML5,网站前端制作",深圳市康华尔电子有限公司,深圳-宝安区,6-8千/月,05-08
HTML5前端开发工程师,华平信息技术股份有限公司,深圳,1-1.5万/月,05-07
Html5游戏开发工程師,伊拾壹企业管理咨询（深圳）有限公司,深圳-罗湖区,10-15万/年,05-06
html5游戏开发工程师,深圳口袋科技有限公司,深圳-南山区,0.8-1.2万/月,05-04
Html5/H5/微信/Web前端开发工程师,深圳市迈时信息科技有限公司,深圳-南山区,0.8-1万/月,05-04
html5开发工程师,深圳市小亿网络有限公司,深圳,1.2-1.5万/月,05-04
Javascript / HTML5开发工程师,国豪（深圳）融资租赁有限公司,深圳-光明新区,0.6-1万/月,05-03
HTML5开发工程师（包吃包住）,广州市尊麟电子产品有限公司,深圳-宝安区,0.8-1.5万/月,05-01
HTML5开发工程师,海南康年酒店管理有限公司深圳分公司,深圳-罗湖区,0.8-1万/月,05-01
PHP/HTML5 微信开发工程师,深圳市凯旋计算机有限公司,深圳-宝安区,0.6-2万/月,04-28
HTML5开发工程师,领居科技（深圳）有限公司,深圳-南山区,1.5-3万/月,04-27
HTML5前端开发工程师,芝麻宝宝（深圳）信息技术有限公司,深圳-龙岗区,1-1.5万/月,04-26
HTML5游戏开发工程师,深圳市越甲天下科技有限公司,深圳-南山区,5-8千/月,04-26
HTML5开发工程师,深圳兴华美教育咨询服务有限公司,深圳-宝安区,6-8千/月,04-25
HTML5开发工程师,深圳消安科技有限公司,深圳-龙岗区,1-1.5万/月,04-25
HTML5前端工程师,深圳市信营国际电子商务有限公司,深圳-福田区,0.6-1万/月,04-25
HTML5开发工程师,深圳市百迅科技有限公司,深圳-福田区,1-2万/月,04-24
HTML5开发工程师,深圳市博悦科创科技有限公司,深圳-福田区,1-1.5万/月,04-23
诚聘HTML5开发工程师+五险一金,深隆稻都（深圳）农业发展有限公司,深圳-南山区,0.7-1.5万/月,04-23
HTML5开发工程师,国天黄金珠宝（深圳）有限公司,深圳-罗湖区,0.6-1万/月,04-21
HTML5开发工程师,深圳市改购时尚科技有限公司,深圳-宝安区,1-1.5万/月,04-20
HTML5开发工程师,深圳智汇航旅科技有限公司,深圳-南山区,1-1.5万/月,04-19
HTML5前端工程师,深圳重远信息技术有限公司,深圳-南山区,0.8-1.4万/月,04-18
HTML5开发工程师,深圳市中科智慧网络科技有限公司,深圳-南山区,0.8-1.5万/月,04-17
HTML5开发工程师,深圳市阿尔法创意科技有限公司,深圳-南山区,0.7-1.5万/月,04-14
HTML5开发工程师,深圳市前海新体验科技有限公司,深圳,1.3-1.6万/月,04-14
HTML5开发工程师,深圳市双州乐游科技有限公司,深圳-南山区,1-2万/月,04-12
HTML5游戏客户端开发,深圳市天天爱科技有限公司,深圳-南山区,1-1.5万/月,04-11
HTML5游戏开发工程师,深圳风神科技有限公司,深圳-南山区,0.6-1.5万/月,04-11
html5开发,深圳市名游网络科技有限公司,深圳-南山区,0.8-1万/月,04-11
HTML5开发工程师,深圳少年创客科技有限公司,深圳-宝安区,0.6-1.5万/月,04-11
HTML5开发,深圳市博奥特科技有限公司,深圳-福田区,1-1.5万/月,04-08
HTML5开发工程师,深圳融天云科软件技术有限公司,深圳-福田区,1-1.5万/月,04-08
HTML5游戏开发工程师,摩根数字产业孵化集团（深圳）有限公司,深圳-龙华新区,0.6-1.5万/月,04-08
HTML5开发工程师,深圳悦智网络科技有限公司,深圳-南山区,1-1.5万/月,04-04
移动端HTML5工程师,深圳市勘察研究院有限公司,深圳-福田区,0.8-1.5万/月,04-03
HTML5 开发工程师,深圳市悦保科技有限公司,深圳,1.5-2万/月,04-02
HTML5开发工程师,深圳市源矩数据信息科技有限公司,深圳-龙岗区,6-8千/月,04-02
HTML5开发工程师,深圳市云端信联科技有限公司,深圳-龙岗区,0.7-1万/月,04-02
HTML5开发工程师,深圳市旗智信息技术有限公司,异地招聘,0.8-1.1万/月,03-30
HTML5前端开发工程师,深圳市国智互联网科技有限公司,深圳-南山区,1.2-2万/月,03-29
HTML5开发工程师,深圳市壹天讯科技有限公司,深圳-南山区,0.8-1万/月,03-28
HTML5开发工程师,深圳牛玩智能科技有限公司,深圳-南山区,1.5-2万/月,03-23
html5,深圳市时空数码科技有限公司,深圳-福田区,1.2-2万/月,03-21
HTML5游戏主程序,成都好玩一二三科技有限公司,异地招聘,1.3-2万/月,03-20
Web前端开发工程师,深圳微梅克斯科技有限公司,深圳-龙岗区,0.5-1.5万/月,05-19
文案策划,深圳市泽林软件技术有限公司,深圳-南山区,0.6-1万/月,05-19
HMTL5开发工程师,深圳市创实互联科技有限公司,深圳-南山区,1-1.5万/月,05-19
高级2D动效师——H5轻游戏,深圳市尚游网络科技有限公司,深圳-南山区,1.5-2万/月,05-19
Web前端 高级工程师,深圳市多度科技有限公司,深圳-南山区,1.2-2.5万/月,05-19
前端开发工程师,深圳市前海鹏悦普惠信息咨询有限公司,深圳-福田区,1-1.5万/月,05-19
急聘资深网页设计师,深圳市华企互联科技有限公司,深圳-龙华新区,0.8-1万/月,05-19
高级前端开发工程师（合肥）,深圳嘉源锐信管理软件有限公司,异地招聘,0.7-1.2万/月,05-19
web前端开发,深圳市油柑科技有限公司,深圳-福田区,0.8-1万/月,05-19
Web前端工程师,深圳市东方智通科技有限公司,深圳-南山区,6-8千/月,05-19
ios开发经理,深圳华盛商业发展有限公司,深圳,1.2-2万/月,05-19
web前端工程师,深圳恒众鑫智能技术有限公司,深圳-宝安区,0.8-1.5万/月,05-19
PHP开发工程师,深圳市港盛投资顾问有限公司,深圳-罗湖区,0.8-1万/月,05-19
高级前端开发工程师,深圳市广联智通科技有限公司,深圳,0.7-1.2万/月,05-19
Web前端开发工程师（包住+南山）,深圳市南方网通网络技术开发有限公司,深圳-南山区,6-8千/月,05-19
WEB前端开发,深圳市咨微信息科技有限公司,深圳-宝安区,0.8-1万/月,05-19
前端开发工程师,深圳晓哲信息咨询合伙企业（有限合伙）,深圳-南山区,1.2-2.4万/月,05-19
前端高级开发工程师（深圳）,深圳市腾讯计算机系统有限公司,深圳,,05-19
Web工程师,深圳骑牛时代科技有限公司,深圳-福田区,0.8-1万/月,05-19
Web前端开发工程师,东莞市新杰物联网科技有限公司,异地招聘,0.6-1.5万/月,05-19
iOS开发工程师,深圳市麦麦云科技有限公司,深圳-宝安区,1-1.5万/月,05-19
网站前端开发工程师,深圳市智远教育科技有限公司,深圳-福田区,0.8-1.2万/月,05-19
Web前端开发工程师,深圳市创宇联网络科技有限公司,深圳-南山区,6-9千/月,05-19
Web前端开发工程师,深圳市小牛普惠投资管理有限公司,深圳-福田区,1.5-2万/月,05-19
Web前端开发工程师,深圳市咫尺网络科技开发有限公司,深圳-南山区,0.8-1.6万/月,05-19
前端开发工程师,广东清大菲恩工业数据技术有限公司,深圳-南山区,0.6-1万/月,05-19
Web前端开发工程师,深圳市特思威尔科技有限公司,深圳-宝安区,6-8千/月,05-19
Web前端开发工程师,深圳市震全创业投资有限公司,深圳-南山区,0.8-1万/月,05-19
Web前端开发工程师(J10657),厦门立达信绿色照明集团有限公司,深圳-南山区,1.5-2万/月,05-19
前端设计,深圳市非零科技有限公司,深圳-宝安区,0.6-1万/月,05-19
Web前端开发工程师,新疆汤立科技有限公司,异地招聘,6-8千/月,05-19
前端开发工程师,深圳市云石企业服务有限公司,深圳-宝安区,1-1.6万/月,05-19
IT软件工程师,深圳市衍丰信息科技有限公司,深圳-南山区,0.8-1.2万/月,05-19
前端开发工程师,深圳市鹏讯网络科技有限公司,深圳-南山区,0.6-1万/月,05-19
web前端工程师,深圳市中乐游计算机系统有限公司,深圳-福田区,0.5-1万/月,05-19
Java Web全栈开发工程师,深圳睿心智能医疗科技有限公司,深圳-南山区,1.5-2.5万/月,05-19
高级web前端开发工程师,深圳柚安米科技有限公司,深圳-福田区,30-40万/年,05-19
WEB前端开发工程师(T2-T4),广州市宝奕瀛新汽车有限责任公司,深圳-南山区,1-2万/月,05-19
高级前端开发工程师（智慧加油）,深圳优卡南方能源有限公司,深圳-龙岗区,1.2-2.4万/月,05-19
H5游戏策划（产品经理）,深圳市百跃网络科技有限公司,深圳-南山区,1-1.8万/月,05-19
H5开发测试工程师,深圳市文言科技发展有限公司,深圳,5-7千/月,05-19
JavaScript工程师,深圳市正集源网络科技有限公司,深圳-宝安区,1.8-2.2万/月,05-19
Web前端开发,前海联合丽格（深圳）整形美容医生集团控股有限公司,深圳-罗湖区,0.8-1万/月,05-19
前端开发工程师-小程序,深圳市终极怪兽科技有限公司,深圳-南山区,0.8-1.5万/月,05-19
高级Android开发工程师,深圳市星冠互娱科技有限公司,深圳-南山区,1.5-2万/月,05-19
资深前端开发工程师,深圳前海新华康互联网金融服务有限公司,深圳-龙岗区,1-1.5万/月,05-19
.NET 软件开发工程师,中南创发集团—宏光纳米科技（深圳）有限公司,深圳-龙岗区,0.8-1万/月,05-19
高级前端开发工程师,深圳前海跨海侠跨境电子商务有限公司,深圳-福田区,1.5-2.5万/月,05-19
Web前端开发工程师,世农汇农业集团有限公司,深圳-南山区,1-1.5万/月,05-19
Node.js开发工程师,深圳市二八智能家居有限公司,深圳-龙华新区,0.8-1.2万/月,05-19
.NET前台软件工程师,深圳市泓锐软件有限公司,深圳,0.8-1.5万/月,05-19
区块链 前端工程师,深圳银链科技有限公司,深圳-南山区,1-2万/月,05-19
JS前端技术经理（高薪招聘）,深圳圣马歌科技有限公司,深圳,1.5-2万/月,05-19
高级前端开发工程师,深圳市球讯网络科技有限公司,深圳-宝安区,1.3-1.8万/月,05-19
C# .NET开发工程师,深圳市中图信息技术有限公司,深圳-宝安区,0.8-1.5万/月,05-19
Web前端开发工程师,深圳市信德缘珠宝首饰有限公司,深圳,0.8-1万/月,05-19
Java高级开发工程师,深圳市前海小猪互联网金融服务有限公司,深圳,1-2万/月,05-19
H5前端开发工程师,深圳市财税无忧科技有限公司,深圳,1-1.5万/月,05-19
Web前端工程师,深圳飞豹航天航空科技有限公司,深圳,0.8-1.5万/月,05-19
H5前端开发工程师,深圳给乐信息科技有限公司,深圳-南山区,1-2万/月,05-19
高级前端开发工程师-00660,任子行网络技术股份有限公司,深圳-南山区,1.2-2万/月,05-19
软件开发工程师（.net）,深圳田田云网络科技有限公司,深圳-南山区,1.5-2.3万/月,05-19
.NET高级开发工程师（机+）,深圳市壹捌无限科技有限公司,深圳-福田区,1.5-2万/月,05-19
JAVA开发工程师,深圳优客共享科技有限公司,深圳-龙华新区,1.2-2万/月,05-19
java工程师（前端开发）,深圳市斯普瑞特通信技术有限公司,深圳,6-8千/月,05-19
前端,深圳偌珅科技有限公司,深圳,0.6-1.5万/月,05-19
H5 APP前端开发工程师,深圳悦借科技有限公司,深圳-南山区,0.7-1.5万/月,05-19
Java开发工程师,广州瑞云网络科技有限公司,深圳-南山区,0.8-1.4万/月,05-19
Web前端开发工程师,深圳市禾葡兰化妆品有限公司,深圳,0.8-1.2万/月,05-19
Web前端开发工程师（vue）,深圳鹏锐信息技术股份有限公司,深圳-南山区,1.1-1.8万/月,05-19
PHP工程师,上学啦（深圳）科技有限公司,深圳-宝安区,6.5-8千/月,05-19
前端开发工程师,深圳前海大智金服科技有限公司,深圳-南山区,1-2万/月,05-19
前端/H5开发工程师/资深互动开发工程师,及时沟通广告,深圳,0.6-1万/月,05-19
.NET工程师,东莞市清溪医院,异地招聘,9-12万/年,05-19
.net软件工程师,深圳市富安娜家居用品股份有限公司,深圳-龙华新区,1-1.5万/月,05-19
高级网页设计师,深圳市臻至科技有限公司,深圳-龙华新区,0.8-1.5万/月,05-19
UI设计师,深圳市加蛮科技有限公司,深圳-福田区,6-8千/月,05-19
Web前端开发工程师,深圳市易甲文技术有限公司,深圳-宝安区,1-1.5万/月,05-19
Web前端开发工程师,深圳市中天安驰有限责任公司,深圳-南山区,0.8-1.5万/月,05-19
高级网页设计师,深圳市网坛科技有限公司,深圳-龙华新区,0.9-1.5万/月,05-19
Web前端开发,深圳市艾特软件有限公司,深圳-南山区,5-8千/月,05-19
前端开发工程师（包住）,深圳市国洋运通国际物流有限公司,深圳,0.8-1万/月,05-19
前端开发工程师,深圳聚领威锋科技股份有限公司,深圳-南山区,5-7千/月,05-19
H5开发工程师（金融行业）,上海新致软件股份有限公司,深圳,,05-19
Java开发工程师,深圳小飞匣现代物流信息科技有限公司,深圳,0.8-1万/月,05-19
H5前端开发负责人,深圳市灵游互娱股份有限公司,深圳-南山区,1.5-2.5万/月,05-19
小游戏开发,深圳市人人体育文化有限公司,深圳-南山区,0.6-1.2万/月,05-19
Web前端开发工程师,健康160（原就医160）,深圳-南山区,0.6-1.2万/月,05-19
Web开发工程师,邦彦技术股份有限公司,深圳,0.7-1.5万/月,05-19
Web前端工程师,深圳睿时尚文化创意有限公司,深圳-南山区,1.3-2.3万/月,05-19
H5游戏前端-cocos2djs优先,深圳市北冥科技有限公司,深圳-南山区,0.8-1万/月,05-19
web前端开发工程师,深圳市苏摩科技有限公司,深圳-南山区,0.6-1.2万/月,05-19
PHP/工程师/软件开发工程师,深圳市慧创恒通科技有限公司,深圳-南山区,1-1.5万/月,05-19
UI前端工程师,深圳市润诚达电力科技有限公司,深圳-南山区,0.6-1万/月,05-19
web前端开发,深圳市海外国际旅行社有限公司,深圳-罗湖区,0.8-1.2万/月,05-19
PHP开发工程师,深圳市玺承文化传播有限公司,深圳-宝安区,1-1.5万/月,05-19
H5游戏开发工程师,聚畔信息科技（上海）有限公司,深圳-南山区,1-1.8万/月,05-19
web工程师,深圳市玩视科技有限公司,深圳-南山区,0.8-1.5万/月,05-19
前端开发工程师,深圳启元信息服务有限公司,深圳-宝安区,1-1.5万/月,05-19
高级PHP开发工程师,深圳市嘉鸿网络科技有限公司,深圳,2-3.5万/月,05-19
Web前端开发工程师,深圳市云宝聚合网络科技有限公司,深圳-南山区,1-2万/月,05-19
Java开发工程师,深圳市车可讯科技有限公司,深圳,1.2-2万/月,05-19
Java开发工程师,上海舟恩信息技术有限公司,深圳-福田区,1-1.5万/月,05-19
前端开发工程师,深圳市银澎投资控股（集团）有限公司,深圳-南山区,1-1.8万/月,05-19
软件开发工程师（前端）-TCIC,深圳市今天国际物流技术股份有限公司,深圳-罗湖区,0.8-1.3万/月,05-19
广告设计师,字节跳动,深圳,0.7-1.4万/月,05-19
Web前端工程师,北京盈频数码科技有限责任公司深圳分公司,深圳-南山区,0.8-1.5万/月,05-19
Web前端开发工程师,深圳市为众云科技有限公司,深圳-南山区,0.6-1.5万/月,05-19
全栈工程师,深圳市合大软件技术有限公司,深圳-南山区,1.5-2.5万/月,05-19
Java开发工程师（客户端）,广州悦人网络科技有限公司,深圳-南山区,1-2万/月,05-19
小程序开发工程师,深圳前海西港互联金融服务有限公司,深圳-南山区,0.8-1.2万/月,05-19
Web前端开发工程师,深圳有点牛传媒有限公司,深圳-龙岗区,0.7-1.2万/月,05-19
COCOS-JS开发工程师,深圳市奇迅新游科技股份有限公司,深圳,0.7-1.2万/月,05-19
APP研发主管,钜亿科技（深圳）有限公司,深圳-龙华新区,1.5-3.5万/月,05-19
Web前端开发工程师,中国稀土控股有限公司,深圳-福田区,1.2-1.5万/月,05-19
高级.net工程师,深圳市云迅通科技股份有限公司,深圳,1.2-1.5万/月,05-19
Angular 工程师,比迪奥贸易（深圳）有限公司,深圳,0.8-1.6万/月,05-19
深圳市华馨智能科技—Web前端开发工程师,深圳市人力资源服务有限公司,深圳-龙华新区,0.8-1.2万/月,05-19
H5游戏开发工程师,深圳市上外拓天教育咨询有限公司,深圳-龙岗区,6-8.5千/月,05-19
前端工程师,深圳国泰安教育技术股份有限公司,深圳-南山区,1-1.5万/月,05-19
Web前端开发工程师,深圳酷旗互联网有限公司,深圳-南山区,0.8-1.5万/月,05-19
Android开发工程师,安胜旗信息咨询（深圳）有限公司,深圳-罗湖区,0.8-1万/月,05-19
Web前端开发工程师,深圳市世联土地房地产评估有限公司,深圳-福田区,7-9千/月,05-19
微信小程序 前端开发工程师,卡特诺电器有限公司,深圳-宝安区,6-8千/月,05-19
Web前端开发工程师,深圳前海优财网络科技有限公司,深圳-福田区,0.8-1万/月,05-19
H5开发工程师,深圳市花信科技控股有限公司,深圳-福田区,1-1.5万/月,05-19
H5游戏开发工程师,深圳市泊众网科技有限公司,深圳,1.2-3万/月,05-19
高级前端工程师,前海结算商业保理（深圳）有限公司,深圳-南山区,1.5-2万/月,05-19
资深UI设计师,玺得（深圳）科技有限公司,深圳-南山区,1.8-3.2万/月,05-19
Android技术支持工程师,深圳市智谷联软件技术有限公司,深圳-宝安区,0.7-1万/月,05-19
Web前端开发工程师,深圳市爱订网络技术有限公司,深圳-龙岗区,1-1.5万/月,05-19
Javascript工程师,赛瓦软件(上海)有限公司,深圳,6-9千/月,05-19
